Project,Coverage > -95dBm (%),Coverage > -100dBm (%),Num_Transmitters,Reward,Output_File
libya_tile_square_centroid_102_458,93.54312133789062,93.54312133789062,22,"tensor(0.7285, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_458\deployed_transmitters_20250903_060948.csv
libya_tile_square_centroid_102_459,91.68962097167969,91.68962097167969,15,"tensor(0.5382, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_459\deployed_transmitters_20250903_060948.csv
libya_tile_square_centroid_102_460,93.31002044677734,93.31002044677734,24,"tensor(0.6908, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_460\deployed_transmitters_20250903_060948.csv
libya_tile_square_centroid_102_461,93.49649810791016,93.49649810791016,20,"tensor(0.5695, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_461\deployed_transmitters_20250903_060949.csv
libya_tile_square_centroid_102_462,91.8503189086914,91.8503189086914,23,"tensor(0.5898, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_462\deployed_transmitters_20250903_060949.csv
libya_tile_square_centroid_102_463,93.31002044677734,93.31002044677734,21,"tensor(0.5786, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_463\deployed_transmitters_20250903_060949.csv
libya_tile_square_centroid_102_464,91.8503189086914,91.8503189086914,17,"tensor(0.4843, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_464\deployed_transmitters_20250903_060949.csv
libya_tile_square_centroid_102_465,93.47319793701172,93.47319793701172,19,"tensor(0.5375, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_465\deployed_transmitters_20250903_060950.csv
libya_tile_square_centroid_102_466,91.87327575683594,91.87327575683594,18,"tensor(0.4871, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_466\deployed_transmitters_20250903_060950.csv
libya_tile_square_centroid_102_467,91.68962097167969,91.68962097167969,15,"tensor(0.5307, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_467\deployed_transmitters_20250903_060950.csv
libya_tile_square_centroid_102_468,93.5897445678711,93.5897445678711,19,"tensor(0.6757, device='cuda:0')",polygon_data\libya_tile_square_centroid_102_468\deployed_transmitters_20250903_060950.csv
libya_tile_square_centroid_103_133,91.64370727539062,91.64370727539062,20,"tensor(0.6414, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_133\deployed_transmitters_20250903_060951.csv
libya_tile_square_centroid_103_430,95.00592041015625,95.00592041015625,22,"tensor(0.6735, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_430\deployed_transmitters_20250903_060952.csv
libya_tile_square_centroid_103_431,93.2634048461914,93.2634048461914,17,"tensor(0.3869, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_431\deployed_transmitters_20250903_060952.csv
libya_tile_square_centroid_103_432,91.87327575683594,91.87327575683594,12,"tensor(0.4298, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_432\deployed_transmitters_20250903_060952.csv
libya_tile_square_centroid_103_433,91.89623260498047,91.89623260498047,19,"tensor(0.4645, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_433\deployed_transmitters_20250903_060953.csv
libya_tile_square_centroid_103_434,93.31002044677734,93.31002044677734,27,"tensor(0.6079, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_434\deployed_transmitters_20250903_060953.csv
libya_tile_square_centroid_103_435,92.03397369384766,92.03397369384766,22,"tensor(0.6374, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_435\deployed_transmitters_20250903_060953.csv
libya_tile_square_centroid_103_436,91.78144836425781,91.78144836425781,19,"tensor(0.6199, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_436\deployed_transmitters_20250903_060953.csv
libya_tile_square_centroid_103_437,91.82736206054688,91.82736206054688,15,"tensor(0.5082, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_437\deployed_transmitters_20250903_060954.csv
libya_tile_square_centroid_103_438,95.00592041015625,95.00592041015625,24,"tensor(0.6738, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_438\deployed_transmitters_20250903_060954.csv
libya_tile_square_centroid_103_439,91.73553466796875,91.73553466796875,20,"tensor(0.6356, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_439\deployed_transmitters_20250903_060954.csv
libya_tile_square_centroid_103_455,91.73553466796875,91.73553466796875,21,"tensor(0.4902, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_455\deployed_transmitters_20250903_060954.csv
libya_tile_square_centroid_103_456,93.44988250732422,93.44988250732422,18,"tensor(0.6067, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_456\deployed_transmitters_20250903_060955.csv
libya_tile_square_centroid_103_457,93.44988250732422,93.44988250732422,19,"tensor(0.5972, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_457\deployed_transmitters_20250903_060955.csv
libya_tile_square_centroid_103_458,91.66667175292969,91.66667175292969,22,"tensor(0.6749, device='cuda:0')",polygon_data\libya_tile_square_centroid_103_458\deployed_transmitters_20250903_060955.csv
